id,生源地,批次,科类,选科限制,院校代码,院校名称,专业代码,专业名称,专业备注,学制,学费,计划数,新增专业,录取最低分,录取最低位次,专业组最低分,专业组最低位次,专业组最低分.1,专业组最低位次.1,计划数.1,最低分,最低位次,计划数.2,最低分.1,最低位次.1,计划数.3,最低分.2,最低位次.2,所在省,城市,本科/专科,隶属单位,院校标签,类型,公私性质,院校水平,理科,工科,文科（非经管法）,经管法,医科,设计与艺术类,语言类
8065088,湖北,本科批,物理,化,A09303,上海交通大学,04,电子信息类,(IEEE试点班，含双学士学位项目；计算机科学与技术、信息工程、信息安全、自动化；含电子信息类(IEEE试点班)-数学与应用数学双学士学位项目),,7000,2.0,,,,689.0,115.0,690.0,119.0,2.0,,,2.0,676,101,3.0,,,上海,上海闵行区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑新八校,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065089,湖北,本科批,物理,化,A09303,上海交通大学,05,人工智能,(卓越人才试点班),,7000,2.0,,,,689.0,115.0,690.0,119.0,2.0,,,2.0,676,101,3.0,,,上海,上海闵行区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑新八校,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065066,湖北,本科批,物理,化,A08906,复旦大学,10,工科试验班,(集成电路领军人才班；微电子科学与工程；教育部“双一流”建设学科；院士担任荣誉班主任，设置集成电路精品学程课程，计算机、人工智能及电子科学技术等学科交叉培养，实施⁴一生一芯”项目和一对一导师制，提供集成电路领域头部企业实习机会),,7000,2.0,新增,,,688.0,128.0,,,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065065,湖北,本科批,物理,化,A08905,复旦大学,09,理科试验班,(相辉学堂相辉计划；数学与应用数学、物理学、化学、生物科学；国家级一流本科专业建设点，教育部“双一流”建设学科；实施相辉学员荣誉培养制度，提供“一人一策“一生一导”培养方案，自由分流),,7000,2.0,新增,,,686.0,159.0,,,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",1.0,,,,,,
8058605,湖北,本科批,物理,化,A00307,清华大学,27,理科试验班,(国家专项计划)(数理类；数学与应用数学、物理学、数理基础科学、工程物理、工程物理(能源实验班)),,5000,1.0,新增,,,686.0,159.0,,,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,1.0,,,,,,
8058606,湖北,本科批,物理,化,A00307,清华大学,28,电子信息类,(国家专项计划)(电子信息科学与技术),,5000,1.0,新增,,,686.0,159.0,,,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8065067,湖北,本科批,物理,化,A08907,复旦大学,11,工科试验班,(新工科拔尖班；智能科学与技术、微电子科学与工程、人工智能；国家级一流本科专业建设点，教育部“双一流”建设学科；含加拿大多伦多大学联合培养本硕项目、瑞典皇家理工学院、布鲁塞尔自由大学联合培养项目；含澳大利亚国立大学“2+2”双学位项目，美国芝加哥大学等暑期交流项目；自由分流),,7000,3.0,新增,,,685.0,173.0,688.0,156.0,,,,,,,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8065068,湖北,本科批,物理,化,A08907,复旦大学,12,计算机科学与技术,(拔尖人才试验班；国家级一流本科专业建设点，A类学科；含澳大利亚国立大学“2+2”双学位项目，美国芝加哥大学等校暑期交流项目等),,7000,1.0,,,,685.0,173.0,688.0,156.0,1.0,,,1.0,672,158,,,,上海,上海杨浦区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,省部共建,101计划,公立大学,本科",综合,公办,"世界知名高水平大学,中国顶尖大学",,1.0,,,,,
8064499,湖北,本科批,物理,化,A00309,清华大学,37,机械工程,(定向；定向兵器工业；定向生录取分数要求按我校招生章程执行，可在统招线下20分内择优录取),,5000,1.0,,,,685.0,173.0,688.0,156.0,1.0,,,1.0,671,173,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064500,湖北,本科批,物理,化,A00309,清华大学,38,核工程与核技术,(定向；定向中核定向生录取分数要求按我校招生章程执行，可在统招线下20分内择优录取),,5000,3.0,,,,685.0,173.0,688.0,156.0,3.0,,,3.0,671,173,3.0,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,C9,建筑老八校,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,1.0,,,,,
8064465,湖北,本科批,物理,不限,A00209,中国人民大学,24,金融学,(金融学与数学双主学位项目；财政金融学院与数学学院联合建设，毕业获经济学、理学双主学士学位),,5000,1.0,新增,,,684.0,187.0,,,,,,,,,,,,北京,北京海淀区,本科,教育部,"综合,985,211,双一流,国家重点,保研,研究生院,五院四系,省部共建,101计划,公立大学,本科",综合,公办,世界一流大学,,,,1.0,,,
8066695,湖北,本科批,物理,化,A34101,上海交通大学医学院,01,临床医学,(八年制本博连读；国家一流本科、卓越医学创新人才计划；含美国等国家临床实践交流项目)(学制：八年医),,7400,2.0,,,,681.0,271.0,684.0,240.0,2.0,,,,,,,,,上海,上海黄浦区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,"世界知名高水平大学,中国顶尖大学",,,,,1.0,,
8066696,湖北,本科批,物理,化,A34101,上海交通大学医学院,02,临床医学,(八年制本博连读，口腔方向；国家一流本科、卓越医学创新人才计划；含卡罗林斯卡大学等交流项目)(学制：八年医),,7400,1.0,,,,681.0,271.0,684.0,240.0,1.0,,,,,,,,,上海,上海黄浦区,本科,教育部,"医药,985,211,双一流,国家重点,保研,研究生院,公立大学,本科",医药,公办,"世界知名高水平大学,中国顶尖大学",,,,,1.0,,
